1102350,1109016,279740896
0.2157,2.7865,0.0558
0.2451,3.3721,0.0662
0.1703,2.9744,0.1008
0.2897,2.5614,0.0268
0.3834,3.9007,0.1596
0.3267,3.7758,0.1427
0.3328,3.9002,0.1443
0.2766,3.8192,0.0865
0.2109,3.2846,0.0207
0.2272,2.8914,0.0110
0.2247,3.9129,0.0253
0.5887,3.9194,0.2037
0.3049,3.6827,0.0572
0.2691,3.6285,0.0400
0.3191,3.1622,0.1241
0.5713,3.1854,0.2674
1.1005,4.0707,0.7065
1.0365,4.0746,0.6162
0.8420,4.1431,0.4838
0.8922,3.9948,0.7058
0.8322,4.2328,0.3098
0.6655,4.0482,0.4014
0.7610,4.0961,0.3889
0.3589,3.7584,0.0961
0.3814,4.0198,0.1702
1.2041,3.9336,0.9626
0.9640,3.9563,0.8056
0.4406,3.9204,0.1185
0.6560,4.0565,0.2725
0.7295,3.5792,0.3448
0.4599,4.2998,0.4093
0.5984,4.3236,0.4109
0.2749,4.3844,0.1372
0.2514,4.2272,0.1180
0.5505,4.3393,0.3314
0.6400,4.1546,0.3496
0.5869,4.3044,0.3078
0.7160,4.2189,0.4482
0.7821,4.3589,0.5049
0.2922,3.9703,0.1441
0.5519,4.2062,0.3164
0.2847,3.1610,0.1467
0.3036,3.4939,0.1308
0.3199,2.5491,0.1700
0.7828,4.2000,0.5167
0.2434,3.8149,0.0868
0.4449,3.9331,0.0873
0.3138,3.7094,0.0481
0.6985,4.4985,0.3507
0.4222,4.0108,0.0416
0.3176,4.0363,0.0750
0.3577,3.9254,0.0648
0.5056,4.0585,0.1271
0.4322,4.1370,0.0806
0.4358,4.2966,0.1604
0.4334,3.4697,0.0772
0.4173,3.6725,0.1809
0.3231,3.5880,0.1132
0.6796,3.6290,0.0260
0.5814,3.3930,0.2877
0.2415,4.0015,0.3044
0.3617,3.6379,0.2716
0.6386,4.2700,0.7860
0.3927,4.0847,0.3674
0.2797,3.9368,0.2470
0.3413,4.0169,0.3068
0.2230,3.4083,0.2377
0.4204,3.9619,0.4554
0.2744,3.6917,0.1345
0.7358,4.0620,0.7496
0.3975,3.6428,0.4751
0.4125,3.3801,0.3723
0.7419,4.0852,0.8859
0.6197,3.2239,0.2966
0.5231,3.1644,0.3397
0.3924,4.3863,0.1128
0.5134,4.4761,0.1430
0.2770,4.4358,0.1388
0.2051,4.1612,0.1226
0.4733,4.3486,0.0947
0.3557,4.5080,0.0701
0.5016,4.4618,0.1621
0.2476,4.2049,0.0693
0.6111,4.4600,0.1527
